Site,effort_SP21_1,effort_SP21_2,effort_SP21_3,effort_SU21_1,effort_SU21_2,effort_SU21_3,effort_FA21_1,effort_FA21_2,effort_FA21_3,effort_SP22_1,effort_SP22_2,effort_SP22_3,effort_SU22_1,effort_SU22_2,effort_SU22_3,effort_FA22_1,effort_FA22_2,effort_FA22_3
1,9,9,9,10,9,10,10,8,8,9,10,10,10,9,10,7,8,9
8,9,9,0,7,7,8,6,6,5,3,4,6,5,3,6,6,5,4
11,0,7,7,8,8,10,7,7,7,10,8,8,9,7,9,9,6,2
12,0,5,5,5,5,5,3,3,3,5,4,5,5,5,5,5,3,5
17,3,3,0,3,4,4,3,4,4,0,1,3,3,4,3,4,3,3
23,6,8,8,8,6,6,4,5,5,6,3,5,6,6,9,6,5,6
83,6,5,7,10,9,10,8,8,9,10,10,9,10,8,9,8,10,9
88,6,7,9,10,10,7,6,9,9,8,1,10,10,10,10,9,8,8
90,6,7,2,10,8,7,7,10,10,10,5,10,10,9,10,8,9,8
111,4,4,4,3,4,5,3,3,3,4,5,4,3,5,4,1,4,3
117,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,3
120,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5
122,10,8,9,9,10,10,9,9,8,10,10,9,10,10,9,9,6,7
123,4,4,4,3,4,3,4,3,4,2,4,4,2,3,4,3,4,3
124,9,10,10,6,7,6,9,6,6,8,7,8,7,6,6,3,7,7
135,10,10,10,9,8,9,10,10,10,8,9,10,10,10,10,8,7,8
136,2,10,5,8,9,10,9,10,7,5,6,7,8,9,8,6,4,6
140,9,9,10,5,7,5,6,7,6,9,9,8,8,8,3,2,0,3
142,5,3,5,8,8,9,9,8,9,7,7,3,6,7,9,8,7,6
143,9,8,6,9,9,7,8,8,10,7,8,5,7,6,6,8,10,6
147,6,6,8,8,9,7,9,9,5,8,4,2,6,7,7,9,7,1
148,3,7,7,8,7,8,8,9,8,7,6,5,8,8,7,3,4,9
161,10,9,9,10,9,10,10,9,8,7,8,7,8,10,7,8,7,7
162,8,7,4,8,9,10,7,7,7,9,6,9,7,3,1,6,9,4
205,8,7,7,8,8,7,9,7,7,9,9,9,9,9,7,7,9,9
214,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,0
216,3,3,3,7,8,3,3,5,4,5,6,8,7,7,5,6,5,6
221,8,10,8,10,7,9,9,8,9,10,9,9,7,9,8,6,6,10
222,3,2,4,6,4,3,5,6,5,4,6,3,6,6,5,5,4,4
223,9,9,9,9,9,6,7,8,8,7,6,7,5,5,7,7,5,7
225,8,8,7,8,5,9,6,6,6,6,6,6,5,5,5,6,6,0
227,6,6,6,6,4,5,5,6,7,4,5,6,7,6,6,6,3,0
229,8,10,10,8,8,8,7,9,8,9,10,9,9,8,8,8,7,0
245,9,10,9,8,2,7,6,6,8,6,6,7,6,5,7,8,8,6
246,7,6,8,7,2,0,5,6,7,5,6,4,8,7,5,8,7,2
250,8,9,7,7,5,7,8,10,10,8,10,10,10,7,9,8,8,6
255,7,8,8,7,4,5,6,5,6,0,0,0,0,0,0,0,0,0
256,1,1,3,4,4,4,4,4,4,2,3,4,4,2,2,4,3,3
260,3,3,2,6,9,6,5,5,5,7,8,5,8,8,5,5,6,5
264,10,9,9,6,7,8,10,10,4,8,8,7,7,7,9,8,8,8
269,10,10,10,10,9,10,8,10,10,10,8,10,10,10,9,8,9,9
274,9,9,8,7,10,10,8,7,9,9,8,10,9,6,8,6,7,7
288,7,9,9,8,8,8,9,9,9,9,8,9,8,8,6,5,9,8
289,3,5,7,7,7,4,6,7,7,4,4,4,6,8,6,1,4,0
295,4,6,6,7,8,8,3,0,5,7,5,0,9,8,4,0,0,0